date,site,secchi,maxrrs,kdmin
'16-Aug-2016',1,NaN,NaN,NaN
'16-Aug-2016',2,NaN,NaN,NaN
'16-Aug-2016',3,1.848998085,0.011907556,0.4959047
'16-Aug-2016',4,NaN,NaN,NaN
'16-Aug-2016',5,2.389390555,0.013685112,0.38794356
'16-Aug-2016',6,1.829776748,0.013752001,0.49866556
'16-Aug-2016',7,1.783401863,0.011553556,0.519699198
'16-Aug-2016',8,NaN,NaN,NaN
'16-Aug-2016',9,NaN,NaN,NaN
'16-Aug-2016',10,NaN,NaN,NaN
'16-Aug-2016',11,NaN,NaN,NaN
'16-Aug-2016',12,2.270644799,0.01238089,0.403125928
'16-Aug-2016',13,NaN,NaN,NaN
'16-Aug-2016',14,NaN,NaN,NaN
'16-Aug-2016',15,1.408577305,0.01121089,0.660115812
'16-Aug-2016',16,1.770562128,0.01362689,0.514219805
'16-Aug-2016',17,2.857092086,0.01383289,0.31985512
'18-Oct-2016',1,NaN,NaN,NaN
'18-Oct-2016',2,1.261993936,0.011315334,0.72809991
'18-Oct-2016',3,1.883762286,0.011919334,0.487620591
'18-Oct-2016',4,1.23243965,0.011317779,0.743953484
'18-Oct-2016',5,1.717458902,0.014533334,0.529148992
'18-Oct-2016',6,1.752889432,0.013120668,0.520926513
'18-Oct-2016',7,2.697797777,0.011455334,0.340470376
'18-Oct-2016',8,1.961495704,0.013607334,0.464572414
'18-Oct-2016',9,NaN,NaN,NaN
'18-Oct-2016',10,NaN,0.007735334,NaN
'18-Oct-2016',11,NaN,0.008550001,NaN
'18-Oct-2016',12,1.405962465,0.01307489,0.649481089
'18-Oct-2016',13,1.552577903,0.012279112,0.589201561
'18-Oct-2016',14,1.647485473,0.013611334,0.552422481
'18-Oct-2016',15,1.394302665,0.013524223,0.654408108
'18-Oct-2016',16,1.633989894,0.013997334,0.55680488
'18-Oct-2016',17,1.749120737,0.01393489,0.520751502
'28-Apr-2018',1,NaN,NaN,NaN
'28-Apr-2018',2,NaN,NaN,NaN
'28-Apr-2018',3,3.503466766,0.011864668,0.264023478
'28-Apr-2018',4,NaN,NaN,NaN
'28-Apr-2018',5,3.177731268,0.013901112,0.286763873
'28-Apr-2018',6,2.413583631,0.014541779,0.37788993
'28-Apr-2018',7,2.987779186,0.011765556,0.318235189
'28-Apr-2018',8,NaN,NaN,NaN
'28-Apr-2018',9,NaN,NaN,NaN
'28-Apr-2018',10,NaN,NaN,NaN
'28-Apr-2018',11,NaN,NaN,NaN
'28-Apr-2018',12,2.435073996,0.01442089,0.373912435
'28-Apr-2018',13,NaN,NaN,NaN
'28-Apr-2018',14,NaN,NaN,NaN
'28-Apr-2018',15,1.627211791,0.013735556,0.56122973
'28-Apr-2018',16,2.592350484,0.01427289,0.352486385
'28-Apr-2018',17,2.068175583,0.015552667,0.437745295
'14-Oct-2020',1,NaN,NaN,NaN
'14-Oct-2020',2,NaN,NaN,NaN
'14-Oct-2020',3,1.733929778,0.01343289,0.527887559
'14-Oct-2020',4,NaN,NaN,NaN
'14-Oct-2020',5,1.903139399,0.014932445,0.476076877
'14-Oct-2020',6,1.997252623,0.013573556,0.457008189
'14-Oct-2020',7,1.7306939,0.01284889,0.539246583
'14-Oct-2020',8,NaN,NaN,NaN
'14-Oct-2020',9,NaN,NaN,NaN
'14-Oct-2020',10,NaN,NaN,NaN
'14-Oct-2020',11,NaN,NaN,NaN
'14-Oct-2020',12,2.026182729,0.013023779,0.450174229
'14-Oct-2020',13,NaN,NaN,NaN
'14-Oct-2020',14,NaN,NaN,NaN
'14-Oct-2020',15,1.327633113,0.012423112,0.689678316
'14-Oct-2020',16,1.742672064,0.014508668,0.520963985
'14-Oct-2020',17,2.04945725,0.014195334,0.444234877