date,site,zsd_3,zsd_1,zsd_9,type1,type2
'16-Aug-2016',1,NaN,NaN,NaN,S2A,S2
'16-Aug-2016',2,NaN,NaN,NaN,S2A,S2
'16-Aug-2016',3,1.848998085,1.898777371,1.90439634,S2A,S2
'16-Aug-2016',4,NaN,NaN,NaN,S2A,S2
'16-Aug-2016',5,2.389390555,2.538993753,2.3145622,S2A,S2
'16-Aug-2016',6,1.829776748,1.898977691,1.92247494,S2A,S2
'16-Aug-2016',7,1.783401863,1.713819713,1.7128901,S2A,S2
'16-Aug-2016',8,NaN,NaN,NaN,S2A,S2
'16-Aug-2016',9,NaN,NaN,NaN,S2A,S2
'16-Aug-2016',10,NaN,NaN,NaN,S2A,S2
'16-Aug-2016',11,NaN,NaN,NaN,S2A,S2
'16-Aug-2016',12,2.270644799,2.229468649,2.30292347,S2A,S2
'16-Aug-2016',13,NaN,NaN,NaN,S2A,S2
'16-Aug-2016',14,NaN,NaN,NaN,S2A,S2
'16-Aug-2016',15,1.408577305,1.397706633,1.72189129,S2A,S2
'16-Aug-2016',16,1.770562128,1.731323586,1.75344444,S2A,S2
'16-Aug-2016',17,2.857092086,2.760085955,2.74205499,S2A,S2
'18-Oct-2016',1,NaN,NaN,NaN,S2A,S2
'18-Oct-2016',2,1.261993936,NaN,1.33328528,S2A,S2
'18-Oct-2016',3,1.883762286,1.90737091,1.78926927,S2A,S2
'18-Oct-2016',4,1.23243965,NaN,1.29552597,S2A,S2
'18-Oct-2016',5,1.717458902,1.661784866,1.73744365,S2A,S2
'18-Oct-2016',6,1.752889432,1.749627711,1.68046738,S2A,S2
'18-Oct-2016',7,2.697797777,2.85827589,3.05982671,S2A,S2
'18-Oct-2016',8,1.961495704,1.998509418,2.02604705,S2A,S2
'18-Oct-2016',9,NaN,NaN,NaN,S2A,S2
'18-Oct-2016',10,NaN,NaN,NaN,S2A,S2
'18-Oct-2016',11,NaN,NaN,NaN,S2A,S2
'18-Oct-2016',12,1.405962465,1.464224729,1.38698738,S2A,S2
'18-Oct-2016',13,1.552577903,1.611986595,1.54001354,S2A,S2
'18-Oct-2016',14,1.647485473,1.576209631,1.64963616,S2A,S2
'18-Oct-2016',15,1.394302665,1.331142379,1.47562876,S2A,S2
'18-Oct-2016',16,1.633989894,1.581527957,1.65850023,S2A,S2
'18-Oct-2016',17,1.749120737,1.855101978,1.6152102,S2A,S2
'28-Apr-2018',1,NaN,NaN,NaN,S2A,S2
'28-Apr-2018',2,NaN,NaN,NaN,S2A,S2
'28-Apr-2018',3,3.503466766,3.926779394,3.24736484,S2A,S2
'28-Apr-2018',4,NaN,NaN,NaN,S2A,S2
'28-Apr-2018',5,3.177731268,3.053916522,2.87907696,S2A,S2
'28-Apr-2018',6,2.413583631,2.510461935,2.38604345,S2A,S2
'28-Apr-2018',7,2.987779186,3.076532156,2.49302055,S2A,S2
'28-Apr-2018',8,NaN,NaN,NaN,S2A,S2
'28-Apr-2018',9,NaN,NaN,NaN,S2A,S2
'28-Apr-2018',10,NaN,NaN,NaN,S2A,S2
'28-Apr-2018',11,NaN,NaN,NaN,S2A,S2
'28-Apr-2018',12,2.435073996,2.639096663,2.25315301,S2A,S2
'28-Apr-2018',13,NaN,NaN,NaN,S2A,S2
'28-Apr-2018',14,NaN,NaN,NaN,S2A,S2
'28-Apr-2018',15,1.627211791,1.65620249,1.84228284,S2A,S2
'28-Apr-2018',16,2.592350484,2.430893172,2.61548326,S2A,S2
'28-Apr-2018',17,2.068175583,2.076278872,2.0623882,S2A,S2
'14-Oct-2020',1,NaN,NaN,NaN,S2A,S2
'14-Oct-2020',2,NaN,NaN,NaN,S2A,S2
'14-Oct-2020',3,1.733929778,1.81647162,1.89030738,S2A,S2
'14-Oct-2020',4,NaN,NaN,NaN,S2A,S2
'14-Oct-2020',5,1.903139399,1.859419702,1.92755839,S2A,S2
'14-Oct-2020',6,1.997252623,1.943354967,2.00896362,S2A,S2
'14-Oct-2020',7,1.7306939,1.74336867,1.64340489,S2A,S2
'14-Oct-2020',8,NaN,NaN,NaN,S2A,S2
'14-Oct-2020',9,NaN,NaN,NaN,S2A,S2
'14-Oct-2020',10,NaN,NaN,NaN,S2A,S2
'14-Oct-2020',11,NaN,NaN,NaN,S2A,S2
'14-Oct-2020',12,2.026182729,1.985042806,1.90433429,S2A,S2
'14-Oct-2020',13,NaN,NaN,NaN,S2A,S2
'14-Oct-2020',14,NaN,NaN,NaN,S2A,S2
'14-Oct-2020',15,1.327633113,1.31776103,1.44276241,S2A,S2
'14-Oct-2020',16,1.742672064,1.799157722,1.70087691,S2A,S2
'14-Oct-2020',17,2.04945725,2.006756763,1.93153066,S2A,S2
'15-Oct-2019',,NaN,NaN,NaN,S2B,S2
'15-Oct-2019',,NaN,NaN,NaN,S2B,S2
'15-Oct-2019',,1.858352413,1.802152038,1.818523821,S2B,S2
'15-Oct-2019',,NaN,NaN,NaN,S2B,S2
'15-Oct-2019',,1.532282402,1.476383566,1.520019556,S2B,S2
'15-Oct-2019',,1.386755487,1.402697259,1.376722132,S2B,S2
'15-Oct-2019',,2.186096603,2.197066856,2.304081363,S2B,S2
'15-Oct-2019',,NaN,NaN,NaN,S2B,S2
'15-Oct-2019',,NaN,NaN,NaN,S2B,S2
'15-Oct-2019',,NaN,NaN,NaN,S2B,S2
'15-Oct-2019',,NaN,NaN,NaN,S2B,S2
'15-Oct-2019',,1.323175516,1.336731464,1.313944089,S2B,S2
'15-Oct-2019',,NaN,NaN,NaN,S2B,S2
'15-Oct-2019',,NaN,NaN,NaN,S2B,S2
'15-Oct-2019',,1.442973225,1.387630225,1.452506043,S2B,S2
'15-Oct-2019',,1.611908522,1.605463298,1.569917207,S2B,S2
'15-Oct-2019',,1.474545291,1.461362529,1.488362654,S2B,S2
'30-Jan-2021',,NaN,NaN,NaN,S2B,S2
'30-Jan-2021',,1.737013056,1.729482493,1.761471712,S2B,S2
'30-Jan-2021',,2.220506252,2.225089306,2.183542858,S2B,S2
'30-Jan-2021',,1.459681094,1.473172482,1.401761443,S2B,S2
'30-Jan-2021',,1.079526415,0.957164611,1.065693303,S2B,S2
'30-Jan-2021',,1.999401333,1.935002849,2.010274674,S2B,S2
'30-Jan-2021',,2.560377184,2.945120499,2.378234182,S2B,S2
'30-Jan-2021',,1.250593494,1.25668358,1.23878483,S2B,S2
'30-Jan-2021',,NaN,NaN,NaN,S2B,S2
'30-Jan-2021',,1.317063809,1.336075296,1.195275713,S2B,S2
'30-Jan-2021',,1.286799311,1.266427624,1.307955868,S2B,S2
'30-Jan-2021',,2.83505795,2.98373608,2.444980682,S2B,S2
'30-Jan-2021',,1.509060277,1.664668545,1.521526958,S2B,S2
'30-Jan-2021',,1.742044131,1.7563133,1.641084348,S2B,S2
'30-Jan-2021',,1.098326664,1.053737939,1.147105502,S2B,S2
'30-Jan-2021',,1.89406303,1.801014353,1.944504594,S2B,S2
'30-Jan-2021',,1.277839381,1.249221933,1.419216227,S2B,S2
'27-Apr-2021',,NaN,NaN,NaN,S2B,S2
'27-Apr-2021',,NaN,NaN,NaN,S2B,S2
'27-Apr-2021',,1.797842672,1.865670744,1.705793262,S2B,S2
'27-Apr-2021',,NaN,NaN,NaN,S2B,S2
'27-Apr-2021',,1.241933273,1.231738457,1.247698735,S2B,S2
'27-Apr-2021',,1.415340899,1.452427117,1.359807624,S2B,S2
'27-Apr-2021',,2.39917468,2.366575251,2.245622601,S2B,S2
'27-Apr-2021',,NaN,NaN,NaN,S2B,S2
'27-Apr-2021',,NaN,NaN,NaN,S2B,S2
'27-Apr-2021',,NaN,NaN,NaN,S2B,S2
'27-Apr-2021',,NaN,NaN,NaN,S2B,S2
'27-Apr-2021',,1.68571567,1.633637542,1.682892975,S2B,S2
'27-Apr-2021',,NaN,NaN,NaN,S2B,S2
'27-Apr-2021',,NaN,NaN,NaN,S2B,S2
'27-Apr-2021',,1.627012945,1.580665132,1.587991593,S2B,S2
'27-Apr-2021',,0.864758627,0.797098767,0.962791167,S2B,S2
'27-Apr-2021',,1.467544119,1.460608983,1.444824237,S2B,S2