secchi,source
0.5,In Situ
0.9,In Situ
1.1,In Situ
0.65,In Situ
0.69,In Situ
0.65,In Situ
1,In Situ
0.75,In Situ
0.95,In Situ
0.57,In Situ
1.05,In Situ
0.6,In Situ
0.55,In Situ
0.6,In Situ
0.65,In Situ
1.15,In Situ
0.48,In Situ
0.76,In Situ
0.6,In Situ
0.65,In Situ
0.64,In Situ
0.9,In Situ
0.66,In Situ
0.61,In Situ
0.86,In Situ
0.75,In Situ
0.75,In Situ
1.52,In Situ
1.09,In Situ
0.97,In Situ
1.6,In Situ
0.9,In Situ
0.9,In Situ
0.85,In Situ
0.4,In Situ
0.95,In Situ
0.8,In Situ
0.6,In Situ
1,In Situ
0.75,In Situ
0.65,In Situ
0.5,In Situ
0.55,In Situ
0.8,In Situ
0.55,In Situ
0.8,In Situ
0.9,In Situ
0.45,In Situ
1.25,In Situ
1.15,In Situ
0.7,In Situ
0.78,In Situ
0.25,In Situ
0.7,In Situ
0.55,In Situ
0.75,In Situ
0.75,In Situ
0.55,In Situ
0.8,In Situ
0.45,In Situ
0.73,In Situ
0.45,In Situ
0.8,In Situ
0.95,In Situ
0.9,In Situ
0.35,In Situ
1.1,In Situ
0.85,In Situ
0.65,In Situ
0.65,In Situ
0.21,In Situ
0.6,In Situ
0.36,In Situ
0.85,In Situ
0.45,In Situ
0.45,In Situ
0.7,In Situ
0.4,In Situ
0.7,In Situ
0.6,In Situ
0.7,In Situ
0.6,In Situ
0.7,In Situ
1.05,In Situ
1.15,In Situ
0.38,In Situ
0.55,In Situ
0.78,In Situ
0.45,In Situ
0.6,In Situ
0.67,In Situ
0.7,In Situ
0.91,In Situ
0.57,In Situ
0.58,In Situ
1.05,In Situ
1.05,In Situ
0.98057759,Landsat-8
2.05063533,Landsat-8
2.47406828,Landsat-8
1.35240415,Landsat-8
1.41185388,Landsat-8
1.63609678,Landsat-8
1.61821843,Landsat-8
1.45619418,Landsat-8
1.8937527,Landsat-8
1.60735881,Landsat-8
1.69985266,Landsat-8
0.93352618,Landsat-8
0.86610583,Landsat-8
0.88548128,Landsat-8
1.66613415,Landsat-8
0.9605066,Landsat-8
0.88424513,Landsat-8
1.68604679,Landsat-8
1.32431141,Landsat-8
1.10576514,Landsat-8
0.74247139,Landsat-8
0.80965598,Landsat-8
1.31871029,Landsat-8
1.09821549,Landsat-8
0.90128787,Landsat-8
1.07473653,Landsat-8
0.897552129,Landsat-8
1.142953333,Landsat-8
1.217326553,Landsat-8
0.988386851,Landsat-8
0.978925057,Landsat-8
1.035084122,Landsat-8
1.143150353,Landsat-8
2.0074058,Landsat-8
1.280684912,Landsat-8
1.772030673,Landsat-8
1.783859263,Landsat-8
1.669651287,Landsat-8
1.183879932,Landsat-8
1.379207032,Landsat-8
2.001372871,Landsat-8
1.004721839,Landsat-8
1.72898833,Landsat-8
1.546182664,Landsat-8
1.809499472,Landsat-8
1.0990078,Landsat-8
1.286561015,Landsat-8
2.234498567,Landsat-8
3.74228092,Landsat-8
1.849664651,Landsat-8
1.2031513,Landsat-8
1.613022763,Landsat-8
2.171822945,Landsat-8
1.820581891,Landsat-8
1.532333754,Landsat-8
1.1391,Landsat-8
1.7048,Landsat-8
2.8413,Landsat-8
1.3443,Landsat-8
1.9261,Landsat-8
1.702570968,Landsat-8
1.15846297,Landsat-8
2.52663403,Landsat-8
2.59995532,Landsat-8
2.30556277,Landsat-8
1.54461966,Landsat-8
1.33006885,Landsat-8
3.69623495,Landsat-8
0.87518452,Landsat-8
1.36255567,Landsat-8
1.01272731,Landsat-8
1.21502814,Landsat-8
0.55729426,Landsat-8
1.3777129,Landsat-8
0.97223572,Landsat-8
1.81836402,Landsat-8
1.49813418,Landsat-8
1.39412201,Landsat-8
1.3759462,Landsat-8
1.24362543,Landsat-8
1.78982936,Landsat-8
1.26256213,Landsat-8
1.46576176,Landsat-8
3.05939738,Landsat-8
1.46591647,Landsat-8
1.20278678,Landsat-8
2.468445322,Sentinel-2
1.891486967,Sentinel-2
2.354031597,Sentinel-2
1.836969061,Sentinel-2
2.949801039,Sentinel-2
1.770801047,Sentinel-2
1.816942059,Sentinel-2
1.464843701,Sentinel-2
1.615164647,Sentinel-2
1.688652881,Sentinel-2
1.806926394,Sentinel-2
1.590397666,Sentinel-2
1.241401176,Sentinel-2
1.275575043,Sentinel-2
1.410262277,Sentinel-2
3.280255708,Sentinel-2
2.513530324,Sentinel-2
2.12536062,Sentinel-2
1.27913874,Sentinel-2
2.14147507,Sentinel-2
1.28617943,Sentinel-2
2.00023269,Sentinel-2
2.42492576,Sentinel-2
1.68790641,Sentinel-2
1.513122099,Sentinel-2
1.06673999,Sentinel-2
1.35021378,Sentinel-2
1.29929072,Sentinel-2
1.03636022,Sentinel-2
1.43935382,Sentinel-2
1.44255755,Sentinel-2
1.11585952,Sentinel-2
1.47011953,Sentinel-2
0.8714686,Sentinel-2
1.57108283,Sentinel-2
2.48709424,Sentinel-2
1.947105166,Sentinel-2
2.36320397,Sentinel-2