decimaldate,date,yearday,site,satsecchi
2017.448323,6/12/17,163,13,1.82474414
2017.448323,6/12/17,163,14,NaN
2017.448323,6/12/17,163,15,NaN
2017.448323,6/12/17,163,16,1.4296993
2017.448323,6/12/17,163,17,NaN
2017.492129,6/28/17,179,2,1.192792053
2017.492129,6/28/17,179,5,NaN
2017.492129,6/28/17,179,6,NaN
2017.492129,6/28/17,179,12,NaN
2017.492129,6/28/17,179,13,NaN
2017.492129,6/28/17,179,16,NaN
2017.492129,6/28/17,179,17,NaN
2017.535934,7/14/17,195,2,1.10834897
2017.535934,7/14/17,195,5,NaN
2017.535934,7/14/17,195,6,NaN
2017.535934,7/14/17,195,12,NaN
2017.535934,7/14/17,195,13,NaN
2017.535934,7/14/17,195,16,NaN
2017.535934,7/14/17,195,17,NaN
2017.57974,7/30/17,211,1,NaN
2017.57974,7/30/17,211,2,1.136096259
2017.57974,7/30/17,211,3,NaN
2017.57974,7/30/17,211,4,NaN
2017.57974,7/30/17,211,5,0.859242396
2017.57974,7/30/17,211,6,NaN
2017.57974,7/30/17,211,7,NaN
2017.57974,7/30/17,211,8,NaN
2017.57974,7/30/17,211,9,NaN
2017.57974,7/30/17,211,10,NaN
2017.57974,7/30/17,211,11,NaN
2017.57974,7/30/17,211,12,NaN
2017.57974,7/30/17,211,13,0.934844986
2017.57974,7/30/17,211,14,NaN
2017.57974,7/30/17,211,15,NaN
2017.57974,7/30/17,211,16,1.255608693
2017.57974,7/30/17,211,17,NaN
2017.667351,8/31/17,243,2,0.9910473
2017.667351,8/31/17,243,5,1.625027495
2017.667351,8/31/17,243,6,1.592066105
2017.667351,8/31/17,243,12,1.208294585
2017.667351,8/31/17,243,13,1.091922525
2017.667351,8/31/17,243,16,2.029348369
2017.667351,8/31/17,243,17,1.016632975
2017.711157,9/16/17,259,2,0.866057253
2017.711157,9/16/17,259,5,1.823681653
2017.711157,9/16/17,259,6,1.789500765
2017.711157,9/16/17,259,12,1.970143523
2017.711157,9/16/17,259,13,1.197386602
2017.711157,9/16/17,259,16,NaN
2017.711157,9/16/17,259,17,1.967994406
2017.798768,10/18/17,291,2,1.419875229
2017.798768,10/18/17,291,5,1.46551392
2017.798768,10/18/17,291,6,0.941509749
2017.798768,10/18/17,291,12,1.179341233
2017.798768,10/18/17,291,13,NaN
2017.798768,10/18/17,291,16,1.883536807
2017.798768,10/18/17,291,17,1.073390972
2017.842574,11/3/17,307,2,1.301018785
2017.842574,11/3/17,307,5,2.165037518
2017.842574,11/3/17,307,6,1.281070752
2017.842574,11/3/17,307,12,1.57891242
2017.842574,11/3/17,307,13,0.92542891
2017.842574,11/3/17,307,16,2.452853074
2017.842574,11/3/17,307,17,1.538650941
2017.886379,11/19/17,323,2,1.414516302
2017.886379,11/19/17,323,5,0.82005036
2017.886379,11/19/17,323,6,1.092266749
2017.886379,11/19/17,323,12,1.074904634
2017.886379,11/19/17,323,13,0.945801848
2017.886379,11/19/17,323,16,0.822709048
2017.886379,11/19/17,323,17,1.116002385
2017.97399,12/21/17,355,2,2.278258924
2017.97399,12/21/17,355,5,1.880562063
2017.97399,12/21/17,355,6,1.730457451
2017.97399,12/21/17,355,12,2.507142156
2017.97399,12/21/17,355,13,2.293385613
2017.97399,12/21/17,355,16,1.880412435
2017.97399,12/21/17,355,17,1.99474137
2018.017796,1/6/18,6,2,0.853600878
2018.017796,1/6/18,6,5,0.495696059
2018.017796,1/6/18,6,6,0.90517536
2018.017796,1/6/18,6,12,0.932743631
2018.017796,1/6/18,6,13,NaN
2018.017796,1/6/18,6,16,0.724836623
2018.017796,1/6/18,6,17,0.923357558
2018.324435,4/28/18,118,2,NaN
2018.324435,4/28/18,118,5,NaN
2018.324435,4/28/18,118,6,1.702570968
2018.324435,4/28/18,118,12,NaN
2018.324435,4/28/18,118,13,NaN
2018.324435,4/28/18,118,16,2.0074058
2018.324435,4/28/18,118,17,NaN
2018.499658,7/1/18,182,2,NaN
2018.499658,7/1/18,182,5,2.031260292
2018.499658,7/1/18,182,6,NaN
2018.499658,7/1/18,182,12,NaN
2018.499658,7/1/18,182,13,NaN
2018.499658,7/1/18,182,16,1.559897409
2018.499658,7/1/18,182,17,1.776338228
2018.543463,7/17/18,198,2,1.094073762
2018.543463,7/17/18,198,5,NaN
2018.543463,7/17/18,198,6,NaN
2018.543463,7/17/18,198,12,NaN
2018.543463,7/17/18,198,13,NaN
2018.543463,7/17/18,198,16,NaN
2018.543463,7/17/18,198,17,NaN
2018.587269,8/2/18,214,2,NaN
2018.587269,8/2/18,214,5,NaN
2018.587269,8/2/18,214,6,1.960494832
2018.587269,8/2/18,214,12,NaN
2018.587269,8/2/18,214,13,NaN
2018.587269,8/2/18,214,16,NaN
2018.587269,8/2/18,214,17,NaN
2018.67488,9/3/18,246,2,1.280684912
2018.67488,9/3/18,246,5,1.772030673
2018.67488,9/3/18,246,6,1.783859263
2018.67488,9/3/18,246,12,1.669651287
2018.67488,9/3/18,246,13,1.183879932
2018.67488,9/3/18,246,16,1.379207032
2018.67488,9/3/18,246,17,2.001372871
2018.718686,9/19/18,262,2,0.87978458
2018.718686,9/19/18,262,5,1.344572277
2018.718686,9/19/18,262,6,1.545334839
2018.718686,9/19/18,262,12,1.198519521
2018.718686,9/19/18,262,13,1.642610654
2018.718686,9/19/18,262,16,1.555407082
2018.718686,9/19/18,262,17,1.02128629
2018.893908,11/22/18,326,2,1.341216767
2018.893908,11/22/18,326,5,1.004940985
2018.893908,11/22/18,326,6,0.860601846
2018.893908,11/22/18,326,12,1.003212604
2018.893908,11/22/18,326,13,0.807553318
2018.893908,11/22/18,326,16,0.926556097
2018.893908,11/22/18,326,17,1.074426631
2018.98152,12/24/18,358,2,NaN
2018.98152,12/24/18,358,5,1.039802069
2018.98152,12/24/18,358,6,0.9583944
2018.98152,12/24/18,358,12,1.151113398
2018.98152,12/24/18,358,13,NaN
2018.98152,12/24/18,358,16,1.156161756
2018.98152,12/24/18,358,17,1.133754317
2019.025325,1/9/19,9,2,1.43265193
2019.025325,1/9/19,9,5,1.445329199
2019.025325,1/9/19,9,6,1.657531847
2019.025325,1/9/19,9,12,1.304532945
2019.025325,1/9/19,9,13,1.900012055
2019.025325,1/9/19,9,16,1.406009754
2019.025325,1/9/19,9,17,1.905670159
2019.069131,1/25/19,25,2,1.037667668
2019.069131,1/25/19,25,5,1.075128248
2019.069131,1/25/19,25,6,1.254793326
2019.069131,1/25/19,25,12,0.970015691
2019.069131,1/25/19,25,13,NaN
2019.069131,1/25/19,25,16,NaN
2019.069131,1/25/19,25,17,0.939553984
2019.112936,2/10/19,41,2,1.219558235
2019.112936,2/10/19,41,5,1.290699598
2019.112936,2/10/19,41,6,1.655031604
2019.112936,2/10/19,41,12,2.380996164
2019.112936,2/10/19,41,13,1.305492077
2019.112936,2/10/19,41,16,1.181358161
2019.112936,2/10/19,41,17,1.276685452
2019.156742,2/26/19,57,2,NaN
2019.156742,2/26/19,57,5,1.289426819
2019.156742,2/26/19,57,6,1.267844246
2019.156742,2/26/19,57,12,1.175530249
2019.156742,2/26/19,57,13,NaN
2019.156742,2/26/19,57,16,1.109460256
2019.156742,2/26/19,57,17,1.802395142
2019.288159,4/15/19,105,2,NaN
2019.288159,4/15/19,105,5,NaN
2019.288159,4/15/19,105,6,NaN
2019.288159,4/15/19,105,12,NaN
2019.288159,4/15/19,105,13,NaN
2019.288159,4/15/19,105,16,NaN
2019.288159,4/15/19,105,17,NaN
2019.331964,5/1/19,121,2,1.004721839
2019.331964,5/1/19,121,5,1.72898833
2019.331964,5/1/19,121,6,1.546182664
2019.331964,5/1/19,121,12,1.809499472
2019.331964,5/1/19,121,13,1.0990078
2019.331964,5/1/19,121,16,1.722207894
2019.331964,5/1/19,121,17,NaN
2019.419576,6/2/19,153,1,NaN
2019.419576,6/2/19,153,2,0.976014177
2019.419576,6/2/19,153,3,NaN
2019.419576,6/2/19,153,4,NaN
2019.419576,6/2/19,153,5,NaN
2019.419576,6/2/19,153,6,NaN
2019.419576,6/2/19,153,7,NaN
2019.419576,6/2/19,153,8,NaN
2019.419576,6/2/19,153,9,NaN
2019.419576,6/2/19,153,10,NaN
2019.419576,6/2/19,153,11,NaN
2019.419576,6/2/19,153,12,NaN
2019.419576,6/2/19,153,13,NaN
2019.419576,6/2/19,153,14,NaN
2019.419576,6/2/19,153,15,NaN
2019.419576,6/2/19,153,16,NaN
2019.419576,6/2/19,153,17,NaN
2019.550992,7/20/19,201,2,1.286561015
2019.550992,7/20/19,201,5,2.234498567
2019.550992,7/20/19,201,6,3.74228092
2019.550992,7/20/19,201,12,1.849664651
2019.550992,7/20/19,201,13,1.2031513
2019.550992,7/20/19,201,16,1.613022763
2019.550992,7/20/19,201,17,2.171822945
2019.726215,9/22/19,265,1,NaN
2019.726215,9/22/19,265,2,1.222116043
2019.726215,9/22/19,265,3,NaN
2019.726215,9/22/19,265,4,NaN
2019.726215,9/22/19,265,5,1.288223641
2019.726215,9/22/19,265,6,1.132908097
2019.726215,9/22/19,265,7,NaN
2019.726215,9/22/19,265,8,NaN
2019.726215,9/22/19,265,9,NaN
2019.726215,9/22/19,265,10,NaN
2019.726215,9/22/19,265,11,NaN
2019.726215,9/22/19,265,12,1.071284682
2019.726215,9/22/19,265,13,1.508431897
2019.726215,9/22/19,265,14,NaN
2019.726215,9/22/19,265,15,NaN
2019.726215,9/22/19,265,16,1.364854118
2019.726215,9/22/19,265,17,0.99002841
2019.813826,10/24/19,297,1,NaN
2019.813826,10/24/19,297,2,0.751742734
2019.813826,10/24/19,297,3,NaN
2019.813826,10/24/19,297,4,NaN
2019.813826,10/24/19,297,5,1.675272939
2019.813826,10/24/19,297,6,1.586486753
2019.813826,10/24/19,297,7,NaN
2019.813826,10/24/19,297,8,NaN
2019.813826,10/24/19,297,9,NaN
2019.813826,10/24/19,297,10,NaN
2019.813826,10/24/19,297,11,NaN
2019.813826,10/24/19,297,12,1.710489248
2019.813826,10/24/19,297,13,1.16776907
2019.813826,10/24/19,297,14,NaN
2019.813826,10/24/19,297,15,NaN
2019.813826,10/24/19,297,16,1.204000923
2019.813826,10/24/19,297,17,1.440287477
2019.857632,11/9/19,313,1,NaN
2019.857632,11/9/19,313,2,1.504246959
2019.857632,11/9/19,313,3,NaN
2019.857632,11/9/19,313,4,NaN
2019.857632,11/9/19,313,5,1.362208747
2019.857632,11/9/19,313,6,1.142199114
2019.857632,11/9/19,313,7,NaN
2019.857632,11/9/19,313,8,NaN
2019.857632,11/9/19,313,9,NaN
2019.857632,11/9/19,313,10,NaN
2019.857632,11/9/19,313,11,NaN
2019.857632,11/9/19,313,12,1.5412837
2019.857632,11/9/19,313,13,1.057351647
2019.857632,11/9/19,313,14,NaN
2019.857632,11/9/19,313,15,NaN
2019.857632,11/9/19,313,16,1.009508336
2019.857632,11/9/19,313,17,1.182335621
2019.901437,11/25/19,329,1,NaN
2019.901437,11/25/19,329,2,1.563443093
2019.901437,11/25/19,329,3,NaN
2019.901437,11/25/19,329,4,NaN
2019.901437,11/25/19,329,5,1.1105351
2019.901437,11/25/19,329,6,1.04246151
2019.901437,11/25/19,329,7,NaN
2019.901437,11/25/19,329,8,NaN
2019.901437,11/25/19,329,9,NaN
2019.901437,11/25/19,329,10,NaN
2019.901437,11/25/19,329,11,NaN
2019.901437,11/25/19,329,12,1.362584196
2019.901437,11/25/19,329,13,0.912204356
2019.901437,11/25/19,329,14,NaN
2019.901437,11/25/19,329,15,NaN
2019.901437,11/25/19,329,16,1.32004483
2019.901437,11/25/19,329,17,1.083138961
2020.295688,4/17/20,108,1,NaN
2020.295688,4/17/20,108,2,NaN
2020.295688,4/17/20,108,3,NaN
2020.295688,4/17/20,108,4,NaN
2020.295688,4/17/20,108,5,2.828839199
2020.295688,4/17/20,108,6,3.277388239
2020.295688,4/17/20,108,7,NaN
2020.295688,4/17/20,108,8,NaN
2020.295688,4/17/20,108,9,NaN
2020.295688,4/17/20,108,10,NaN
2020.295688,4/17/20,108,11,NaN
2020.295688,4/17/20,108,12,NaN
2020.295688,4/17/20,108,13,0.996716271
2020.295688,4/17/20,108,14,NaN
2020.295688,4/17/20,108,15,NaN
2020.295688,4/17/20,108,16,1.25541158
2020.295688,4/17/20,108,17,2.255669933
2020.339493,5/3/20,124,1,NaN
2020.339493,5/3/20,124,2,NaN
2020.339493,5/3/20,124,3,NaN
2020.339493,5/3/20,124,4,NaN
2020.339493,5/3/20,124,5,1.818364024
2020.339493,5/3/20,124,6,1.49813418
2020.339493,5/3/20,124,7,NaN
2020.339493,5/3/20,124,8,NaN
2020.339493,5/3/20,124,9,NaN
2020.339493,5/3/20,124,10,NaN
2020.339493,5/3/20,124,11,NaN
2020.339493,5/3/20,124,12,1.39412201
2020.339493,5/3/20,124,13,1.3759462
2020.339493,5/3/20,124,14,NaN
2020.339493,5/3/20,124,15,NaN
2020.339493,5/3/20,124,16,1.243625432
2020.339493,5/3/20,124,17,NaN
2020.427105,6/4/20,156,1,NaN
2020.427105,6/4/20,156,2,NaN
2020.427105,6/4/20,156,3,NaN
2020.427105,6/4/20,156,4,NaN
2020.427105,6/4/20,156,5,1.28328317
2020.427105,6/4/20,156,6,NaN
2020.427105,6/4/20,156,7,NaN
2020.427105,6/4/20,156,8,NaN
2020.427105,6/4/20,156,9,NaN
2020.427105,6/4/20,156,10,NaN
2020.427105,6/4/20,156,11,NaN
2020.427105,6/4/20,156,12,1.22325382
2020.427105,6/4/20,156,13,NaN
2020.427105,6/4/20,156,14,NaN
2020.427105,6/4/20,156,15,NaN
2020.427105,6/4/20,156,16,1.430370161
2020.427105,6/4/20,156,17,1.258289517
2020.514716,7/6/20,188,1,NaN
2020.514716,7/6/20,188,2,NaN
2020.514716,7/6/20,188,3,NaN
2020.514716,7/6/20,188,4,NaN
2020.514716,7/6/20,188,5,NaN
2020.514716,7/6/20,188,6,NaN
2020.514716,7/6/20,188,7,NaN
2020.514716,7/6/20,188,8,NaN
2020.514716,7/6/20,188,9,NaN
2020.514716,7/6/20,188,10,NaN
2020.514716,7/6/20,188,11,NaN
2020.514716,7/6/20,188,12,NaN
2020.514716,7/6/20,188,13,NaN
2020.514716,7/6/20,188,14,NaN
2020.514716,7/6/20,188,15,NaN
2020.514716,7/6/20,188,16,NaN
2020.514716,7/6/20,188,17,NaN
2020.558522,7/22/20,204,1,NaN
2020.558522,7/22/20,204,2,1.136876134
2020.558522,7/22/20,204,3,NaN
2020.558522,7/22/20,204,4,NaN
2020.558522,7/22/20,204,5,NaN
2020.558522,7/22/20,204,6,1.706041899
2020.558522,7/22/20,204,7,NaN
2020.558522,7/22/20,204,8,NaN
2020.558522,7/22/20,204,9,NaN
2020.558522,7/22/20,204,10,NaN
2020.558522,7/22/20,204,11,NaN
2020.558522,7/22/20,204,12,2.836558598
2020.558522,7/22/20,204,13,1.343189688
2020.558522,7/22/20,204,14,NaN
2020.558522,7/22/20,204,15,NaN
2020.558522,7/22/20,204,16,NaN
2020.558522,7/22/20,204,17,1.94062371